id	NC1_Control	NC2_Control	NC3_Control	U2OS1_Treat	U2OS2_Treat	U2OS3_Treat
TSPAN6	11.3246098543419	11.3178848039823	11.2972502109738	11.3794608348523	11.3227601534619	11.406740538059
TNMD	0	0	1	0	0	0
DPM1	11.6776470240231	11.6232294666739	11.5991942282479	11.5229579436596	11.6763854962634	11.5566892644705
SCYL3	8.97228317842806	8.97084450360052	8.72798501169415	9.21860374964393	9.17104508464934	8.84749236535403
FIRRM	9.59295960084725	9.55778201801619	9.57852545607779	9.94844889179589	9.95153866051276	9.94969494568221
CFH	4.02000420004191	4.10683744037344	3.93643591275693	4.65263810842324	3.98844130602383	3.92752631243056
FUCA2	11.5902352798055	11.6316748685231	11.5719909113415	11.6376369145168	11.5312072911731	11.6076437464551
GCLC	11.5897769210973	11.5983116203713	11.5800896361573	11.5897769210973	11.536069284729	11.5239744986661
NFYA	11.6776470240231	11.7079844606741	11.561069519637	11.8042839073582	11.7610612949192	11.7521059879723
STPG1	8.40453697272738	8.47429124710742	8.54682415290429	8.17275167504807	8.04989503687044	7.88054693316774
NIPAL3	9.80308403840351	9.83675816507399	9.87616307347711	9.65904824208785	9.34624051432445	9.59111390620691
LAS1L	11.4839809027139	11.5322337192148	11.5330953431662	11.5406502757977	11.5647652542354	11.6093126954158
ENPP4	9.90136190438775	9.85438678416662	9.86991709392238	9.81400983903541	9.83094497018108	9.90282571689968
SEMA3F	9.23961248442688	8.94878131926871	9.2136452359009	9.7417935125359	9.50641003211322	9.41204459032059
CFTR	3.4702749057584	3.13184351911949	2.3461359328418	2.82178753688403	3.98844130602383	2.82954665391665
ANKIB1	12.6578343120393	12.7057010092683	12.6878108190854	12.6515848911281	12.6165670111854	12.5899526886071
CYP51A1	8.43987314197545	8.00211312411364	8.23366173580333	8.09626955486932	8.39164826462156	8.40906455680856
KRIT1	10.6543509998745	10.6188096515927	10.5799787379512	10.3248574963777	10.5616228258743	10.4986054725831
RAD52	9.5023859067388	9.47321718135247	9.58567312682765	9.6214969925852	9.35433916037148	9.33905870489243
BAD	7.42362467562461	7.00764649287531	7.0471742090489	7.31930812863958	7.14997231594463	7.07859588799649
LAP3	10.8036564179968	10.8712451087731	10.7594969779918	10.8249182531084	10.7567093949616	10.7658367285157
CD99	5.17463669918738	5.38335286268638	6.0595887794379	5.94214715171845	5.8615020718184	5.89234721761051
HS3ST1	1.38997500048077	1	0	0	0	1
AOC1	3.77758837210552	3.69015056585657	3.84785176296312	0	2.49728436544322	1
WNT16	1.38997500048077	3.28877407141527	3.36093397262796	3.21220213497572	3.4702749057584	0
HECW1	3.9599226532917	4.60537991477347	4.72531252014807	4.88138836233984	4.59661701926913	4.34764524472189
MAD1L1	6.39805273700036	6.26493340303641	5.69948079720086	6.22467870962182	5.49877853579771	6.09434682987582
LASP1	13.3686773230644	13.3011492840139	13.3049938000552	13.5091372523705	13.4184835731143	13.4011765118519
SNX11	9.72316208976625	9.63303749985595	9.70514100431246	9.54430547343097	9.69730456352424	9.5234411492817
TMEM176A	3.31169132537359	3.4702749057584	4.25151124849956	4.09024816144829	3.70566879992182	4.34764524472189
M6PR	12.5441796293505	12.4910523929667	12.5445340969876	12.406084193525	12.3369981572393	12.4569611548983
KLHL13	7.79379123136256	7.81829354996102	7.60511435800587	8.09626955486932	7.98612702828349	7.92983247581859
CYP26B1	10.3441740635687	10.2799306413397	10.2718755608733	10.5215626809656	10.4587315942062	10.4912032752255
ICA1	6.72650233466881	6.49998008544881	6.5613091868857	6.42005161527376	6.42005161527376	6.144844296931
DBNDD1	7.96544230615187	7.55542148409709	7.5820522017262	8.24717242700491	8.27782761561675	8.28233076223937
ALS2	11.7554681107792	11.7985897200376	11.7261511901672	11.6203332644449	11.6876120408948	11.6381930426271
CASP10	5.99725965829282	5.99389667796988	6.04204598529428	5.6135605661504	5.4109432977773	5.85227330535362
CFLAR	11.1137749461007	11.0491522073385	11.0594098022736	10.9029723349372	10.9224874292644	10.9857848610767
TFPI	10.9524801157689	11.0361257479448	10.9985266842381	10.7153756467033	10.6947312884172	10.780104945335
NDUFAF7	10.1859409111807	10.2920524395232	10.3562595347692	10.233515087474	10.1919548382789	10.2330376190419
RBM5	12.5327352153752	12.5150223601227	12.4730496741854	12.3939000191267	12.4197913930701	12.4547452943869
MTMR7	5.24542360249537	5.17463669918738	5.38852401195649	5.49877853579771	5.43859638337863	6.02712424418321
SLC7A2	9.10553696695845	9.02933082140511	9.03091689896731	9.45590023857641	9.31886175224644	9.37527990243689
ARF5	10.0780716780747	9.9393792772504	10.0647864673943	10.1749668939194	10.1969068165495	10.3095844646311
SARM1	5.3068614808783	5.56262711754824	5.47170620257199	5.24542360249537	5.4109432977773	4.77926487740935
POLDIP2	10.9545346899022	11.0151108767007	11.0221277526841	10.9361710203532	10.9604128833496	10.8569523091755
PLXND1	11.4959235101539	11.5219240029152	11.5713905470562	11.6294563229226	11.6206140476663	11.5824953710306
AK2	12.5037710793883	12.4799548808313	12.5077732786804	12.5089728388743	12.5177895576334	12.5768497555969
CD38	0	0	1	0	0	0
FKBP4	12.5196970751143	12.4671120458145	12.4850066711849	12.6515848911281	12.6724942468022	12.6306110521163
KDM1A	12.4621029625978	12.4632685190635	12.4197913930701	12.5297812004779	12.4828112411311	12.4836769869093
RBM6	12.3832100245115	12.3539609810783	12.407867390148	12.3781750920976	12.3458891640981	12.5345204617981
CAMKK1	8.7192593797117	8.61726954244252	8.40417099196761	8.27310844572316	8.29123852962107	8.29552003968819
